CERTI,FROM CTS,TO CTS,COLOR,CLARITY,FLR,%
GIA,1.7,1.79,G,SI2,NON,46
GIA,1.7,1.79,H,IF,NON,47
GIA,1.7,1.79,H,VVS1,NON,44
GIA,1.7,1.79,H,VVS2,NON,44
GIA,1.7,1.79,H,VS1,NON,42
GIA,1.7,1.79,H,VS2,NON,42
GIA,1.7,1.79,H,SI1,NON,46
GIA,1.7,1.79,H,SI2,NON,46
GIA,1.7,1.79,I,IF,NON,47
GIA,1.7,1.79,I,VVS1,NON,44
GIA,1.7,1.79,I,VVS2,NON,44
GIA,1.7,1.79,I,VS1,NON,42
GIA,1.7,1.79,I,VS2,NON,42
GIA,1.7,1.79,I,SI1,NON,46
GIA,1.7,1.79,I,SI2,NON,46
GIA,1.7,1.79,J,IF,NON,47
GIA,1.7,1.79,J,VVS1,NON,44
GIA,1.7,1.79,J,VVS2,NON,44
GIA,1.7,1.79,J,VS1,NON,42
GIA,1.7,1.79,J,VS2,NON,42
GIA,1.7,1.79,J,SI1,NON,46
GIA,1.7,1.79,J,SI2,NON,46
GIA,1.8,1.89,D,IF,NON,45
GIA,1.8,1.89,D,VVS1,NON,40
GIA,1.8,1.89,D,VVS2,NON,40
GIA,1.8,1.89,D,VS1,NON,36
GIA,1.8,1.89,D,VS2,NON,36
GIA,1.8,1.89,D,SI1,NON,42
GIA,1.8,1.89,D,SI2,NON,42
GIA,1.8,1.89,E,IF,NON,45
GIA,1.8,1.89,E,VVS1,NON,40
GIA,1.8,1.89,E,VVS2,NON,40
GIA,1.8,1.89,E,VS1,NON,36
GIA,1.8,1.89,E,VS2,NON,36
GIA,1.8,1.89,E,SI1,NON,42
GIA,1.8,1.89,E,SI2,NON,42
GIA,1.8,1.89,F,IF,NON,42
