SHAPE,FROM CTS,TO CTS,COLOR,CLARITY,CUT,PRICE,DATE
RO,0.04,0.07,K,I3,EX,170, 8/30/2024
RO,0.04,0.07,L,IF,EX,470, 8/30/2024
RO,0.04,0.07,L,VVS1,EX,470, 8/30/2024
RO,0.04,0.07,L,VVS2,EX,470, 8/30/2024
RO,0.04,0.07,L,VS1,EX,420, 8/30/2024
RO,0.04,0.07,L,VS2,EX,420, 8/30/2024
RO,0.04,0.07,L,SI1,EX,380, 8/30/2024
RO,0.04,0.07,L,SI2,EX,340, 8/30/2024
RO,0.04,0.07,L,SI3,EX,310, 8/30/2024
RO,0.04,0.07,L,I1,EX,270, 8/30/2024
RO,0.04,0.07,L,I2,EX,220, 8/30/2024
RO,0.04,0.07,L,I3,EX,170, 8/30/2024
RO,0.04,0.07,M,IF,EX,310, 8/30/2024
RO,0.04,0.07,M,VVS1,EX,310, 8/30/2024
RO,0.04,0.07,M,VVS2,EX,310, 8/30/2024
RO,0.04,0.07,M,VS1,EX,280, 8/30/2024
RO,0.04,0.07,M,VS2,EX,280, 8/30/2024
RO,0.04,0.07,M,SI1,EX,240, 8/30/2024
RO,0.04,0.07,M,SI2,EX,210, 8/30/2024
RO,0.04,0.07,M,SI3,EX,190, 8/30/2024
RO,0.04,0.07,M,I1,EX,170, 8/30/2024
RO,0.04,0.07,M,I2,EX,150, 8/30/2024
RO,0.04,0.07,M,I3,EX,130, 8/30/2024
RO,0.04,0.07,N,IF,EX,310, 8/30/2024
RO,0.04,0.07,N,VVS1,EX,310, 8/30/2024
RO,0.04,0.07,N,VVS2,EX,310, 8/30/2024
RO,0.04,0.07,N,VS1,EX,280, 8/30/2024
RO,0.04,0.07,N,VS2,EX,280, 8/30/2024
RO,0.04,0.07,N,SI1,EX,240, 8/30/2024
RO,0.04,0.07,N,SI2,EX,210, 8/30/2024
RO,0.04,0.07,N,SI3,EX,190, 8/30/2024
RO,0.04,0.07,N,I1,EX,170, 8/30/2024
RO,0.04,0.07,N,I2,EX,150, 8/30/2024
RO,0.04,0.07,N,I3,EX,130, 8/30/2024
RO,0.08,0.14,D,IF,EX,1060, 8/30/2024
RO,0.08,0.14,D,VVS1,EX,1060, 8/30/2024
RO,0.08,0.14,D,VVS2,EX,1060, 8/30/2024
RO,0.08,0.14,D,VS1,EX,960, 8/30/2024
RO,0.08,0.14,D,VS2,EX,960, 8/30/2024
RO,0.08,0.14,D,SI1,EX,850, 8/30/2024
RO,0.08,0.14,D,SI2,EX,760, 8/30/2024
RO,0.08,0.14,D,SI3,EX,680, 8/30/2024
RO,0.08,0.14,D,I1,EX,570, 8/30/2024
RO,0.08,0.14,D,I2,EX,480, 8/30/2024
RO,0.08,0.14,D,I3,EX,400, 8/30/2024
RO,0.08,0.14,E,IF,EX,1060, 8/30/2024
RO,0.08,0.14,E,VVS1,EX,1060, 8/30/2024
RO,0.08,0.14,E,VVS2,EX,1060, 8/30/2024
RO,0.08,0.14,E,VS1,EX,960, 8/30/2024
RO,0.08,0.14,E,VS2,EX,960, 8/30/2024
RO,0.08,0.14,E,SI1,EX,850, 8/30/2024
RO,0.08,0.14,E,SI2,EX,760, 8/30/2024
RO,0.08,0.14,E,SI3,EX,680, 8/30/2024
RO,0.08,0.14,E,I1,EX,570, 8/30/2024
RO,0.08,0.14,E,I2,EX,480, 8/30/2024
RO,0.08,0.14,E,I3,EX,400, 8/30/2024
RO,0.08,0.14,F,IF,EX,1060, 8/30/2024
RO,0.08,0.14,F,VVS1,EX,1060, 8/30/2024
RO,0.08,0.14,F,VVS2,EX,1060, 8/30/2024
RO,0.08,0.14,F,VS1,EX,960, 8/30/2024
RO,0.08,0.14,F,VS2,EX,960, 8/30/2024
RO,0.08,0.14,F,SI1,EX,850, 8/30/2024
RO,0.08,0.14,F,SI2,EX,760, 8/30/2024
RO,0.08,0.14,F,SI3,EX,680, 8/30/2024
RO,0.08,0.14,F,I1,EX,570, 8/30/2024
RO,0.08,0.14,F,I2,EX,480, 8/30/2024
RO,0.08,0.14,F,I3,EX,400, 8/30/2024
RO,0.08,0.14,G,IF,EX,880, 8/30/2024
RO,0.08,0.14,G,VVS1,EX,880, 8/30/2024
